title,abstract,authors,link,source,cleaned_abstract
Detecting Neural Trojans Through Merkle Trees,"Deep neural networks are utilized in a growing number of industries. Much of the current literature focuses on the applications of deep neural networks without discussing the security of the network itself. One security issue facing deep neural networks is neural trojans. Through a neural trojan, a malicious actor may force the deep neural network to act in unintended ways. Several potential defenses have been proposed, but they are computationally expensive, complex, or unusable in commercial applications. We propose Merkle trees as a novel way to detect and isolate neural trojans.",Joshua Strubel,http://arxiv.org/abs/2306.05368v1,arXiv,deep neural network be utilized in a grow number of industry much of the current literature focus on the application of deep neural network without discuss the security of the network itself one security issue face deep neural network be neural trojan through a neural trojan a malicious actor may force the deep neural network to act in unintended way several potential defense have be propose but they be computationally expensive complex or unusable in commercial application we propose merkle tree a a novel way to detect and isolate neural trojan
"Performance Analysis Of Neural Network Models For Oxazolines And
  Oxazoles Derivatives Descriptor Dataset","Neural networks have been used successfully to a broad range of areas such as business, data mining, drug discovery and biology. In medicine, neural networks have been applied widely in medical diagnosis, detection and evaluation of new drugs and treatment cost estimation. In addition, neural networks have begin practice in data mining strategies for the aim of prediction, knowledge discovery. This paper will present the application of neural networks for the prediction and analysis of antitubercular activity of Oxazolines and Oxazoles derivatives. This study presents techniques based on the development of Single hidden layer neural network (SHLFFNN), Gradient Descent Back propagation neural network (GDBPNN), Gradient Descent Back propagation with momentum neural network (GDBPMNN), Back propagation with Weight decay neural network (BPWDNN) and Quantile regression neural network (QRNN) of artificial neural network (ANN) models Here, we comparatively evaluate the performance of five neural network techniques. The evaluation of the efficiency of each model by ways of benchmark experiments is an accepted application. Cross-validation and resampling techniques are commonly used to derive point estimates of the performances which are compared to identify methods with good properties. Predictive accuracy was evaluated using the root mean squared error (RMSE), Coefficient determination(???), mean absolute error(MAE), mean percentage error(MPE) and relative square error(RSE). We found that all five neural network models were able to produce feasible models. QRNN model is outperforms with all statistical tests amongst other four models."," Doreswamy, Chanabasayya . M. Vastrad",http://arxiv.org/abs/1312.2853v1,arXiv,neural network have be use successfully to a broad range of area such a business data mining drug discovery and biology in medicine neural network have be apply widely in medical diagnosis detection and evaluation of new drug and treatment cost estimation in addition neural network have begin practice in data mining strategy for the aim of prediction knowledge discovery this paper will present the application of neural network for the prediction and analysis of antitubercular activity of oxazolines and oxazoles derivative this study present technique base on the development of single hidden layer neural network shlffnn gradient descent back propagation neural network gdbpnn gradient descent back propagation with momentum neural network gdbpmnn back propagation with weight decay neural network bpwdnn and quantile regression neural network qrnn of artificial neural network ann model here we comparatively evaluate the performance of five neural network technique the evaluation of the efficiency of each model by way of benchmark experiment be an accepted application cross-validation and resampling technique be commonly use to derive point estimate of the performance which be compare to identify method with good property predictive accuracy be evaluate use the root mean square error rmse coefficient determination mean absolute error mae mean percentage error mpe and relative square error rse we found that all five neural network model be able to produce feasible model qrnn model be outperforms with all statistical test amongst other four model
"Why Quantization Improves Generalization: NTK of Binary Weight Neural
  Networks","Quantized neural networks have drawn a lot of attention as they reduce the space and computational complexity during the inference. Moreover, there has been folklore that quantization acts as an implicit regularizer and thus can improve the generalizability of neural networks, yet no existing work formalizes this interesting folklore. In this paper, we take the binary weights in a neural network as random variables under stochastic rounding, and study the distribution propagation over different layers in the neural network. We propose a quasi neural network to approximate the distribution propagation, which is a neural network with continuous parameters and smooth activation function. We derive the neural tangent kernel (NTK) for this quasi neural network, and show that the eigenvalue of NTK decays at approximately exponential rate, which is comparable to that of Gaussian kernel with randomized scale. This in turn indicates that the Reproducing Kernel Hilbert Space (RKHS) of a binary weight neural network covers a strict subset of functions compared with the one with real value weights. We use experiments to verify that the quasi neural network we proposed can well approximate binary weight neural network. Furthermore, binary weight neural network gives a lower generalization gap compared with real value weight neural network, which is similar to the difference between Gaussian kernel and Laplace kernel.","Kaiqi Zhang, Ming Yin, Yu-Xiang Wang",http://arxiv.org/abs/2206.05916v1,arXiv,quantize neural network have drawn a lot of attention a they reduce the space and computational complexity during the inference moreover there have be folklore that quantization act a an implicit regularizer and thus can improve the generalizability of neural network yet no exist work formalizes this interest folklore in this paper we take the binary weight in a neural network a random variable under stochastic round and study the distribution propagation over different layer in the neural network we propose a quasi neural network to approximate the distribution propagation which be a neural network with continuous parameter and smooth activation function we derive the neural tangent kernel ntk for this quasi neural network and show that the eigenvalue of ntk decay at approximately exponential rate which be comparable to that of gaussian kernel with randomize scale this in turn indicates that the reproduce kernel hilbert space rkhs of a binary weight neural network cover a strict subset of function compare with the one with real value weight we use experiment to verify that the quasi neural network we propose can well approximate binary weight neural network furthermore binary weight neural network give a low generalization gap compare with real value weight neural network which be similar to the difference between gaussian kernel and laplace kernel
Fourier Neural Networks for Function Approximation,"The success of Neural networks in providing miraculous results when applied to a wide variety of tasks is astonishing. Insight in the working can be obtained by studying the universal approximation property of neural networks. It is proved extensively that neural networks are universal approximators. Further it is proved that deep Neural networks are better approximators. It is specifically proved that for a narrow neural network to approximate a function which is otherwise implemented by a deep Neural network, the network take exponentially large number of neurons. In this work, we have implemented existing methodologies for a variety of synthetic functions and identified their deficiencies. Further, we examined that Fourier neural network is able to perform fairly good with only two layers in the neural network. A modified Fourier Neural network which has sinusoidal activation and two hidden layer is proposed and the results are tabulated.","R Subhash Chandra Bose, Kakarla Yaswanth",http://arxiv.org/abs/2111.08438v1,arXiv,the success of neural network in provide miraculous result when apply to a wide variety of task be astonish insight in the work can be obtain by study the universal approximation property of neural network it be prove extensively that neural network be universal approximators far it be prove that deep neural network be well approximators it be specifically prove that for a narrow neural network to approximate a function which be otherwise implement by a deep neural network the network take exponentially large number of neuron in this work we have implement exist methodology for a variety of synthetic function and identify their deficiency far we examine that fourier neural network be able to perform fairly good with only two layer in the neural network a modify fourier neural network which have sinusoidal activation and two hidden layer be propose and the result be tabulate
Bayesian Neural Networks: Essentials,"Bayesian neural networks utilize probabilistic layers that capture uncertainty over weights and activations, and are trained using Bayesian inference. Since these probabilistic layers are designed to be drop-in replacement of their deterministic counter parts, Bayesian neural networks provide a direct and natural way to extend conventional deep neural networks to support probabilistic deep learning. However, it is nontrivial to understand, design and train Bayesian neural networks due to their complexities. We discuss the essentials of Bayesian neural networks including duality (deep neural networks, probabilistic models), approximate Bayesian inference, Bayesian priors, Bayesian posteriors, and deep variational learning. We use TensorFlow Probability APIs and code examples for illustration. The main problem with Bayesian neural networks is that the architecture of deep neural networks makes it quite redundant, and costly, to account for uncertainty for a large number of successive layers. Hybrid Bayesian neural networks, which use few probabilistic layers judicially positioned in the networks, provide a practical solution.",Daniel T. Chang,http://arxiv.org/abs/2106.13594v1,arXiv,bayesian neural network utilize probabilistic layer that capture uncertainty over weight and activation and be train use bayesian inference since these probabilistic layer be design to be drop-in replacement of their deterministic counter part bayesian neural network provide a direct and natural way to extend conventional deep neural network to support probabilistic deep learn however it be nontrivial to understand design and train bayesian neural network due to their complexity we discus the essential of bayesian neural network include duality deep neural network probabilistic model approximate bayesian inference bayesian prior bayesian posterior and deep variational learn we use tensorflow probability apis and code example for illustration the main problem with bayesian neural network be that the architecture of deep neural network make it quite redundant and costly to account for uncertainty for a large number of successive layer hybrid bayesian neural network which use few probabilistic layer judicially position in the network provide a practical solution
"Genetic cellular neural networks for generating three-dimensional
  geometry","There are a number of ways to procedurally generate interesting three-dimensional shapes, and a method where a cellular neural network is combined with a mesh growth algorithm is presented here. The aim is to create a shape from a genetic code in such a way that a crude search can find interesting shapes. Identical neural networks are placed at each vertex of a mesh which can communicate with neural networks on neighboring vertices. The output of the neural networks determine how the mesh grows, allowing interesting shapes to be produced emergently, mimicking some of the complexity of biological organism development. Since the neural networks' parameters can be freely mutated, the approach is amenable for use in a genetic algorithm.",Hugo Martay,http://arxiv.org/abs/1603.08551v1,arXiv,there be a number of way to procedurally generate interest three-dimensional shape and a method where a cellular neural network be combine with a mesh growth algorithm be present here the aim be to create a shape from a genetic code in such a way that a crude search can find interest shape identical neural network be place at each vertex of a mesh which can communicate with neural network on neighbor vertex the output of the neural network determine how the mesh grows allow interest shape to be produce emergently mimic some of the complexity of biological organism development since the neural network parameter can be freely mutate the approach be amenable for use in a genetic algorithm
Survey of Dropout Methods for Deep Neural Networks,"Dropout methods are a family of stochastic techniques used in neural network training or inference that have generated significant research interest and are widely used in practice. They have been successfully applied in neural network regularization, model compression, and in measuring the uncertainty of neural network outputs. While original formulated for dense neural network layers, recent advances have made dropout methods also applicable to convolutional and recurrent neural network layers. This paper summarizes the history of dropout methods, their various applications, and current areas of research interest. Important proposed methods are described in additional detail.","Alex Labach, Hojjat Salehinejad, Shahrokh Valaee",http://arxiv.org/abs/1904.13310v2,arXiv,dropout method be a family of stochastic technique use in neural network training or inference that have generate significant research interest and be widely use in practice they have be successfully apply in neural network regularization model compression and in measure the uncertainty of neural network output while original formulate for dense neural network layer recent advance have make dropout method also applicable to convolutional and recurrent neural network layer this paper summarizes the history of dropout method their various application and current area of research interest important propose method be described in additional detail
"General Regression Neural Networks, Radial Basis Function Neural
  Networks, Support Vector Machines, and Feedforward Neural Networks","The aim of this project is to develop a code to discover the optimal sigma value that maximum the F1 score and the optimal sigma value that maximizes the accuracy and to find out if they are the same. Four algorithms which can be used to solve this problem are: Genetic Regression Neural Networks (GRNNs), Radial Based Function (RBF) Neural Networks (RBFNNs), Support Vector Machines (SVMs) and Feedforward Neural Network (FFNNs).","Alison Jenkins, Vinika Gupta, Mary Lenoir",http://arxiv.org/abs/1911.07115v1,arXiv,the aim of this project be to develop a code to discover the optimal sigma value that maximum the f1 score and the optimal sigma value that maximizes the accuracy and to find out if they be the same four algorithm which can be use to solve this problem be genetic regression neural network grnns radial base function rbf neural network rbfnns support vector machine svms and feedforward neural network ffnns
On neural network kernels and the storage capacity problem,"In this short note, we reify the connection between work on the storage capacity problem in wide two-layer treelike neural networks and the rapidly-growing body of literature on kernel limits of wide neural networks. Concretely, we observe that the ""effective order parameter"" studied in the statistical mechanics literature is exactly equivalent to the infinite-width Neural Network Gaussian Process Kernel. This correspondence connects the expressivity and trainability of wide two-layer neural networks.","Jacob A. Zavatone-Veth, Cengiz Pehlevan",http://arxiv.org/abs/2201.04669v1,arXiv,in this short note we reify the connection between work on the storage capacity problem in wide two-layer treelike neural network and the rapidly-growing body of literature on kernel limit of wide neural network concretely we observe that the effective order parameter study in the statistical mechanic literature be exactly equivalent to the infinite-width neural network gaussian process kernel this correspondence connects the expressivity and trainability of wide two-layer neural network
Unary Coding for Neural Network Learning,This paper presents some properties of unary coding of significance for biological learning and instantaneously trained neural networks.,Subhash Kak,http://arxiv.org/abs/1009.4495v1,arXiv,this paper present some property of unary cod of significance for biological learn and instantaneously train neural network
Deep Neural Networks - A Brief History,Introduction to deep neural networks and their history.,Krzysztof J. Cios,http://arxiv.org/abs/1701.05549v1,arXiv,introduction to deep neural network and their history
GPU Acceleration of Sparse Neural Networks,"In this paper, we use graphics processing units(GPU) to accelerate sparse and arbitrary structured neural networks. Sparse networks have nodes in the network that are not fully connected with nodes in preceding and following layers, and arbitrary structure neural networks have different number of nodes in each layers. Sparse Neural networks with arbitrary structures are generally created in the processes like neural network pruning and evolutionary machine learning strategies. We show that we can gain significant speedup for full activation of such neural networks using graphical processing units. We do a prepossessing step to determine dependency groups for all the nodes in a network, and use that information to guide the progression of activation in the neural network. Then we compute activation for each nodes in its own separate thread in the GPU, which allows for massive parallelization. We use CUDA framework to implement our approach and compare the results of sequential and GPU implementations. Our results show that the activation of sparse neural networks lends very well to GPU acceleration and can help speed up machine learning strategies which generate such networks or other processes that have similar structure.","Aavaas Gajurel, Sushil J. Louis, Frederick C Harris",http://arxiv.org/abs/2005.04347v1,arXiv,in this paper we use graphic processing unit gpu to accelerate sparse and arbitrary structure neural network sparse network have node in the network that be not fully connect with node in precede and follow layer and arbitrary structure neural network have different number of node in each layer sparse neural network with arbitrary structure be generally create in the process like neural network prune and evolutionary machine learn strategy we show that we can gain significant speedup for full activation of such neural network use graphical processing unit we do a prepossess step to determine dependency group for all the node in a network and use that information to guide the progression of activation in the neural network then we compute activation for each node in it own separate thread in the gpu which allows for massive parallelization we use cuda framework to implement our approach and compare the result of sequential and gpu implementation our result show that the activation of sparse neural network lends very well to gpu acceleration and can help speed up machine learn strategy which generate such network or other process that have similar structure
Spiking Neural Networks with Random Network Architecture,"The spiking neural network, known as the third generation neural network, is an important network paradigm. Due to its mode of information propagation that follows biological rationality, the spiking neural network has strong energy efficiency and has advantages in complex high-energy application scenarios. However, unlike the artificial neural network (ANN) which has a mature and unified framework, the SNN models and training methods have not yet been widely unified due to the discontinuous and non-differentiable property of the firing mechanism. Although several algorithms for training spiking neural networks have been proposed in the subsequent development process, some fundamental issues remain unsolved. Inspired by random network design, this work proposes a new architecture for spiking neural networks, RanSNN, where only part of the network weights need training and all the classic training methods can be adopted. Compared with traditional training methods for spiking neural networks, it greatly improves the training efficiency while ensuring the training performance, and also has good versatility and stability as validated by benchmark tests.","Zihan Dai, Huanfei Ma",http://arxiv.org/abs/2505.13622v1,arXiv,the spike neural network know a the third generation neural network be an important network paradigm due to it mode of information propagation that follow biological rationality the spike neural network have strong energy efficiency and have advantage in complex high-energy application scenario however unlike the artificial neural network ann which have a mature and unified framework the snn model and training method have not yet be widely unified due to the discontinuous and non-differentiable property of the fire mechanism although several algorithm for training spike neural network have be propose in the subsequent development process some fundamental issue remain unsolved inspire by random network design this work proposes a new architecture for spike neural network ransnn where only part of the network weight need training and all the classic training method can be adopt compare with traditional training method for spike neural network it greatly improves the training efficiency while ensure the training performance and also have good versatility and stability a validate by benchmark test
Neural Network Pruning as Spectrum Preserving Process,"Neural networks have achieved remarkable performance in various application domains. Nevertheless, a large number of weights in pre-trained deep neural networks prohibit them from being deployed on smartphones and embedded systems. It is highly desirable to obtain lightweight versions of neural networks for inference in edge devices. Many cost-effective approaches were proposed to prune dense and convolutional layers that are common in deep neural networks and dominant in the parameter space. However, a unified theoretical foundation for the problem mostly is missing. In this paper, we identify the close connection between matrix spectrum learning and neural network training for dense and convolutional layers and argue that weight pruning is essentially a matrix sparsification process to preserve the spectrum. Based on the analysis, we also propose a matrix sparsification algorithm tailored for neural network pruning that yields better pruning result. We carefully design and conduct experiments to support our arguments. Hence we provide a consolidated viewpoint for neural network pruning and enhance the interpretability of deep neural networks by identifying and preserving the critical neural weights.","Shibo Yao, Dantong Yu, Ioannis Koutis",http://arxiv.org/abs/2307.08982v1,arXiv,neural network have achieve remarkable performance in various application domain nevertheless a large number of weight in pre-trained deep neural network prohibit them from be deployed on smartphones and embed system it be highly desirable to obtain lightweight version of neural network for inference in edge device many cost-effective approach be propose to prune dense and convolutional layer that be common in deep neural network and dominant in the parameter space however a unified theoretical foundation for the problem mostly be miss in this paper we identify the close connection between matrix spectrum learn and neural network training for dense and convolutional layer and argue that weight prune be essentially a matrix sparsification process to preserve the spectrum base on the analysis we also propose a matrix sparsification algorithm tailor for neural network prune that yield well prune result we carefully design and conduct experiment to support our argument hence we provide a consolidated viewpoint for neural network prune and enhance the interpretability of deep neural network by identify and preserve the critical neural weight
On Hiding Neural Networks Inside Neural Networks,Modern neural networks often contain significantly more parameters than the size of their training data. We show that this excess capacity provides an opportunity for embedding secret machine learning models within a trained neural network. Our novel framework hides the existence of a secret neural network with arbitrary desired functionality within a carrier network. We prove theoretically that the secret network's detection is computationally infeasible and demonstrate empirically that the carrier network does not compromise the secret network's disguise. Our paper introduces a previously unknown steganographic technique that can be exploited by adversaries if left unchecked.,"Chuan Guo, Ruihan Wu, Kilian Q. Weinberger",http://arxiv.org/abs/2002.10078v3,arXiv,modern neural network often contain significantly more parameter than the size of their training data we show that this excess capacity provide an opportunity for embed secret machine learn model within a train neural network our novel framework hide the existence of a secret neural network with arbitrary desire functionality within a carrier network we prove theoretically that the secret network s detection be computationally infeasible and demonstrate empirically that the carrier network do not compromise the secret network s disguise our paper introduces a previously unknown steganographic technique that can be exploit by adversary if left unchecked
Consistency of Neural Networks with Regularization,"Neural networks have attracted a lot of attention due to its success in applications such as natural language processing and computer vision. For large scale data, due to the tremendous number of parameters in neural networks, overfitting is an issue in training neural networks. To avoid overfitting, one common approach is to penalize the parameters especially the weights in neural networks. Although neural networks has demonstrated its advantages in many applications, the theoretical foundation of penalized neural networks has not been well-established. Our goal of this paper is to propose the general framework of neural networks with regularization and prove its consistency. Under certain conditions, the estimated neural network will converge to true underlying function as the sample size increases. The method of sieves and the theory on minimal neural networks are used to overcome the issue of unidentifiability for the parameters. Two types of activation functions: hyperbolic tangent function(Tanh) and rectified linear unit(ReLU) have been taken into consideration. Simulations have been conducted to verify the validation of theorem of consistency.","Xiaoxi Shen, Jinghang Lin",http://arxiv.org/abs/2207.01538v1,arXiv,neural network have attract a lot of attention due to it success in application such a natural language processing and computer vision for large scale data due to the tremendous number of parameter in neural network overfitting be an issue in training neural network to avoid overfitting one common approach be to penalize the parameter especially the weight in neural network although neural network have demonstrate it advantage in many application the theoretical foundation of penalize neural network have not be well-established our goal of this paper be to propose the general framework of neural network with regularization and prove it consistency under certain condition the estimate neural network will converge to true underlie function a the sample size increase the method of sieve and the theory on minimal neural network be use to overcome the issue of unidentifiability for the parameter two type of activation function hyperbolic tangent function tanh and rectify linear unit relu have be take into consideration simulation have be conduct to verify the validation of theorem of consistency
"Understanding Weight Similarity of Neural Networks via Chain
  Normalization Rule and Hypothesis-Training-Testing","We present a weight similarity measure method that can quantify the weight similarity of non-convex neural networks. To understand the weight similarity of different trained models, we propose to extract the feature representation from the weights of neural networks. We first normalize the weights of neural networks by introducing a chain normalization rule, which is used for weight representation learning and weight similarity measure. We extend the traditional hypothesis-testing method to a hypothesis-training-testing statistical inference method to validate the hypothesis on the weight similarity of neural networks. With the chain normalization rule and the new statistical inference, we study the weight similarity measure on Multi-Layer Perceptron (MLP), Convolutional Neural Network (CNN), and Recurrent Neural Network (RNN), and find that the weights of an identical neural network optimized with the Stochastic Gradient Descent (SGD) algorithm converge to a similar local solution in a metric space. The weight similarity measure provides more insight into the local solutions of neural networks. Experiments on several datasets consistently validate the hypothesis of weight similarity measure.","Guangcong Wang, Guangrun Wang, Wenqi Liang, Jianhuang Lai",http://arxiv.org/abs/2208.04369v1,arXiv,we present a weight similarity measure method that can quantify the weight similarity of non-convex neural network to understand the weight similarity of different train model we propose to extract the feature representation from the weight of neural network we first normalize the weight of neural network by introduce a chain normalization rule which be use for weight representation learn and weight similarity measure we extend the traditional hypothesis-testing method to a hypothesis-training-testing statistical inference method to validate the hypothesis on the weight similarity of neural network with the chain normalization rule and the new statistical inference we study the weight similarity measure on multi-layer perceptron mlp convolutional neural network cnn and recurrent neural network rnn and find that the weight of an identical neural network optimize with the stochastic gradient descent sgd algorithm converge to a similar local solution in a metric space the weight similarity measure provide more insight into the local solution of neural network experiment on several datasets consistently validate the hypothesis of weight similarity measure
"A New Constructive Method to Optimize Neural Network Architecture and
  Generalization","In this paper, after analyzing the reasons of poor generalization and overfitting in neural networks, we consider some noise data as a singular value of a continuous function - jump discontinuity point. The continuous part can be approximated with the simplest neural networks, which have good generalization performance and optimal network architecture, by traditional algorithms such as constructive algorithm for feed-forward neural networks with incremental training, BP algorithm, ELM algorithm, various constructive algorithm, RBF approximation and SVM. At the same time, we will construct RBF neural networks to fit the singular value with every error in, and we prove that a function with jumping discontinuity points can be approximated by the simplest neural networks with a decay RBF neural networks in by each error, and a function with jumping discontinuity point can be constructively approximated by a decay RBF neural networks in by each error and the constructive part have no generalization influence to the whole machine learning system which will optimize neural network architecture and generalization performance, reduce the overfitting phenomenon by avoid fitting the noisy data.","Hou Muzhou, Moon Ho Lee",http://arxiv.org/abs/1302.0324v1,arXiv,in this paper after analyze the reason of poor generalization and overfitting in neural network we consider some noise data a a singular value of a continuous function - jump discontinuity point the continuous part can be approximate with the simplest neural network which have good generalization performance and optimal network architecture by traditional algorithm such a constructive algorithm for feed-forward neural network with incremental training bp algorithm elm algorithm various constructive algorithm rbf approximation and svm at the same time we will construct rbf neural network to fit the singular value with every error in and we prove that a function with jumping discontinuity point can be approximate by the simplest neural network with a decay rbf neural network in by each error and a function with jumping discontinuity point can be constructively approximate by a decay rbf neural network in by each error and the constructive part have no generalization influence to the whole machine learn system which will optimize neural network architecture and generalization performance reduce the overfitting phenomenon by avoid fitting the noisy data
"Deep physical neural networks enabled by a backpropagation algorithm for
  arbitrary physical systems","Deep neural networks have become a pervasive tool in science and engineering. However, modern deep neural networks' growing energy requirements now increasingly limit their scaling and broader use. We propose a radical alternative for implementing deep neural network models: Physical Neural Networks. We introduce a hybrid physical-digital algorithm called Physics-Aware Training to efficiently train sequences of controllable physical systems to act as deep neural networks. This method automatically trains the functionality of any sequence of real physical systems, directly, using backpropagation, the same technique used for modern deep neural networks. To illustrate their generality, we demonstrate physical neural networks with three diverse physical systems-optical, mechanical, and electrical. Physical neural networks may facilitate unconventional machine learning hardware that is orders of magnitude faster and more energy efficient than conventional electronic processors.","Logan G. Wright, Tatsuhiro Onodera, Martin M. Stein, Tianyu Wang, Darren T. Schachter, Zoey Hu, Peter L. McMahon",http://arxiv.org/abs/2104.13386v1,arXiv,deep neural network have become a pervasive tool in science and engineering however modern deep neural network grow energy requirement now increasingly limit their scale and broader use we propose a radical alternative for implement deep neural network model physical neural network we introduce a hybrid physical-digital algorithm call physics-aware training to efficiently train sequence of controllable physical system to act a deep neural network this method automatically train the functionality of any sequence of real physical system directly use backpropagation the same technique use for modern deep neural network to illustrate their generality we demonstrate physical neural network with three diverse physical systems-optical mechanical and electrical physical neural network may facilitate unconventional machine learn hardware that be order of magnitude faster and more energy efficient than conventional electronic processor
Graph Metanetworks for Processing Diverse Neural Architectures,"Neural networks efficiently encode learned information within their parameters. Consequently, many tasks can be unified by treating neural networks themselves as input data. When doing so, recent studies demonstrated the importance of accounting for the symmetries and geometry of parameter spaces. However, those works developed architectures tailored to specific networks such as MLPs and CNNs without normalization layers, and generalizing such architectures to other types of networks can be challenging. In this work, we overcome these challenges by building new metanetworks - neural networks that take weights from other neural networks as input. Put simply, we carefully build graphs representing the input neural networks and process the graphs using graph neural networks. Our approach, Graph Metanetworks (GMNs), generalizes to neural architectures where competing methods struggle, such as multi-head attention layers, normalization layers, convolutional layers, ResNet blocks, and group-equivariant linear layers. We prove that GMNs are expressive and equivariant to parameter permutation symmetries that leave the input neural network functions unchanged. We validate the effectiveness of our method on several metanetwork tasks over diverse neural network architectures.","Derek Lim, Haggai Maron, Marc T. Law, Jonathan Lorraine, James Lucas",http://arxiv.org/abs/2312.04501v2,arXiv,neural network efficiently encode learn information within their parameter consequently many task can be unified by treat neural network themselves a input data when do so recent study demonstrate the importance of accounting for the symmetry and geometry of parameter space however those work developed architecture tailor to specific network such a mlps and cnns without normalization layer and generalize such architecture to other type of network can be challenge in this work we overcome these challenge by building new metanetworks - neural network that take weight from other neural network a input put simply we carefully build graph represent the input neural network and process the graph use graph neural network our approach graph metanetworks gmns generalizes to neural architecture where compete method struggle such a multi-head attention layer normalization layer convolutional layer resnet block and group-equivariant linear layer we prove that gmns be expressive and equivariant to parameter permutation symmetry that leave the input neural network function unchanged we validate the effectiveness of our method on several metanetwork task over diverse neural network architecture
"Bayesian Learning of Neural Networks for Signal/Background
  Discrimination in Particle Physics","Neural networks are used extensively in classification problems in particle physics research. Since the training of neural networks can be viewed as a problem of inference, Bayesian learning of neural networks can provide more optimal and robust results than conventional learning methods. We have investigated the use of Bayesian neural networks for signal/background discrimination in the search for second generation leptoquarks at the Tevatron, as an example. We present a comparison of the results obtained from the conventional training of feedforward neural networks and networks trained with Bayesian methods.","Michael Pogwizd, Laura Jane Elgass, Pushpalatha C. Bhat",http://arxiv.org/abs/0707.0930v1,arXiv,neural network be use extensively in classification problem in particle physic research since the training of neural network can be view a a problem of inference bayesian learn of neural network can provide more optimal and robust result than conventional learn method we have investigate the use of bayesian neural network for signal background discrimination in the search for second generation leptoquarks at the tevatron a an example we present a comparison of the result obtain from the conventional training of feedforward neural network and network train with bayesian method
Deep Neural Networks for Pattern Recognition,"In the field of pattern recognition research, the method of using deep neural networks based on improved computing hardware recently attracted attention because of their superior accuracy compared to conventional methods. Deep neural networks simulate the human visual system and achieve human equivalent accuracy in image classification, object detection, and segmentation. This chapter introduces the basic structure of deep neural networks that simulate human neural networks. Then we identify the operational processes and applications of conditional generative adversarial networks, which are being actively researched based on the bottom-up and top-down mechanisms, the most important functions of the human visual perception process. Finally, recent developments in training strategies for effective learning of complex deep neural networks are addressed.","Kyongsik Yun, Alexander Huyen, Thomas Lu",http://arxiv.org/abs/1809.09645v1,arXiv,in the field of pattern recognition research the method of use deep neural network base on improve compute hardware recently attract attention because of their superior accuracy compare to conventional method deep neural network simulate the human visual system and achieve human equivalent accuracy in image classification object detection and segmentation this chapter introduces the basic structure of deep neural network that simulate human neural network then we identify the operational process and application of conditional generative adversarial network which be be actively research base on the bottom-up and top-down mechanism the most important function of the human visual perception process finally recent development in training strategy for effective learn of complex deep neural network be address
"Evidence, Definitions and Algorithms regarding the Existence of
  Cohesive-Convergence Groups in Neural Network Optimization","Understanding the convergence process of neural networks is one of the most complex and crucial issues in the field of machine learning. Despite the close association of notable successes in this domain with the convergence of artificial neural networks, this concept remains predominantly theoretical. In reality, due to the non-convex nature of the optimization problems that artificial neural networks tackle, very few trained networks actually achieve convergence. To expand recent research efforts on artificial-neural-network convergence, this paper will discuss a different approach based on observations of cohesive-convergence groups emerging during the optimization process of an artificial neural network.",Thien An L. Nguyen,http://arxiv.org/abs/2403.05610v1,arXiv,understand the convergence process of neural network be one of the most complex and crucial issue in the field of machine learn despite the close association of notable success in this domain with the convergence of artificial neural network this concept remains predominantly theoretical in reality due to the non-convex nature of the optimization problem that artificial neural network tackle very few train network actually achieve convergence to expand recent research effort on artificial-neural-network convergence this paper will discus a different approach base on observation of cohesive-convergence group emerge during the optimization process of an artificial neural network
